Geography,Mean_ppb
Flushing and Whitestone (CD7),26.3
Hillcrest and Fresh Meadows (CD8),25.2
Kew Gardens and Woodhaven (CD9),25.4
South Ozone Park and Howard Beach (CD10),27.2
Bayside and Little Neck (CD11),26.3
Jamaica and Hollis (CD12),26.4
Queens Village (CD13),27.8
Rockaway and Broad Channel (CD14),33.7
St. George and Stapleton (CD1),24.9
South Beach and Willowbrook (CD2),27
Tottenville and Great Kills (CD3),27.6
Kingsbridge - Riverdale,23.7
Northeast Bronx,26.8
Fordham - Bronx Pk,24.5
Pelham - Throgs Neck,26.7
Crotona -Tremont,23.1
High Bridge - Morrisania,22.6
Hunts Point - Mott Haven,25.2
Greenpoint,25.6
Downtown - Heights - Slope,23.1
Bedford Stuyvesant - Crown Heights,24.3
East New York,26.3
Sunset Park,24.6
Borough Park,25.5
East Flatbush - Flatbush,25.5
Canarsie - Flatlands,29
Bensonhurst - Bay Ridge,26.9
Coney Island - Sheepshead Bay,29.6
Williamsburg - Bushwick,24.8
Washington Heights,21.8
Central Harlem - Morningside Heights,21.5
East Harlem,22.8
Upper West Side,21.3
Upper East Side,20.9
Chelsea - Clinton,18.2
Gramercy Park - Murray Hill,16.1
Greenwich Village - SoHo,20.6
Union Square - Lower East Side,21.2
Lower Manhattan,18.9
Long Island City - Astoria,26.1
West Queens,25.7
Flushing - Clearview,26.3
Bayside - Little Neck,26.3
Ridgewood - Forest Hills,25.6
Fresh Meadows,25.4
Southwest Queens,26.5
Jamaica,26.1
Southeast Queens,27.6
Rockaways,33.6
Port Richmond,24.4
Stapleton - St. George,26.5
Willowbrook,26
South Beach - Tottenville,27.8
Kingsbridge - Riverdale,23.7
Northeast Bronx,26.8
Fordham - Bronx Pk,24.5
Pelham - Throgs Neck,26.7
Greenpoint,25.6
Downtown - Heights - Slope,23.1
Bedford Stuyvesant - Crown Heights,24.3
East New York,26.3
Sunset Park,24.6
Borough Park,25.5
East Flatbush - Flatbush,25.5
Canarsie - Flatlands,29
Bensonhurst - Bay Ridge,26.9
Coney Island - Sheepshead Bay,29.6
Williamsburg - Bushwick,24.8
Washington Heights,21.8
Central Harlem - Morningside Heights,21.5
East Harlem,22.8
Upper West Side,21.3
Long Island City - Astoria,26.1
West Queens,25.7
Flushing - Clearview,26.3
Ridgewood - Forest Hills,25.6
Southwest Queens,26.5
Jamaica,26.1
Southeast Queens,27.6
Rockaways,33.6
Upper East Side-Gramercy,18.6
Chelsea-Village  ,19
Union Square-Lower Manhattan,20.4
Bayside Little Neck-Fresh Meadows,25.9
Northern SI,25.8
Southern SI,27.1
South Bronx,23.9
Bronx,25.3
Brooklyn,26.3
Manhattan,20.4
Queens,26.8
Staten Island,26.7
New York City,26
