Geography,Mean_ppb
St. George and Stapleton (CD1),28.8
South Beach and Willowbrook (CD2),30
Tottenville and Great Kills (CD3),30.2
Kingsbridge - Riverdale,29.8
Northeast Bronx,31.2
Fordham - Bronx Pk,30.6
Pelham - Throgs Neck,31.5
Crotona -Tremont,30
High Bridge - Morrisania,29.7
Hunts Point - Mott Haven,30.6
Greenpoint,29
Downtown - Heights - Slope,28.5
Bedford Stuyvesant - Crown Heights,30.2
East New York,31.7
Sunset Park,29.5
Borough Park,30.4
East Flatbush - Flatbush,31
Canarsie - Flatlands,33
Bensonhurst - Bay Ridge,30.9
Coney Island - Sheepshead Bay,32.5
Williamsburg - Bushwick,29.6
Washington Heights,29
Central Harlem - Morningside Heights,28.4
East Harlem,28.8
Upper West Side,27.2
Upper East Side,27
Chelsea - Clinton,24.8
Gramercy Park - Murray Hill,24
Greenwich Village - SoHo,26.4
Union Square - Lower East Side,26.8
Lower Manhattan,25.9
Long Island City - Astoria,29.7
West Queens,30.3
Flushing - Clearview,31.3
Bayside - Little Neck,31
Ridgewood - Forest Hills,31
Fresh Meadows,31
Southwest Queens,31.9
Jamaica,31.3
Southeast Queens,31.8
Rockaways,35.2
Port Richmond,28.5
Stapleton - St. George,29.9
Willowbrook,29.4
South Beach - Tottenville,30.3
Kingsbridge - Riverdale,29.8
Northeast Bronx,31.2
Fordham - Bronx Pk,30.6
Pelham - Throgs Neck,31.5
Greenpoint,29
Downtown - Heights - Slope,28.5
Bedford Stuyvesant - Crown Heights,30.2
East New York,31.7
Sunset Park,29.5
Borough Park,30.4
East Flatbush - Flatbush,31
Canarsie - Flatlands,33
Bensonhurst - Bay Ridge,30.9
Coney Island - Sheepshead Bay,32.5
Williamsburg - Bushwick,29.6
Washington Heights,29
Central Harlem - Morningside Heights,28.4
East Harlem,28.8
Upper West Side,27.2
Long Island City - Astoria,29.7
West Queens,30.3
Flushing - Clearview,31.3
Ridgewood - Forest Hills,31
Southwest Queens,31.9
Jamaica,31.3
Southeast Queens,31.8
Rockaways,35.2
Upper East Side-Gramercy,25.6
Chelsea-Village  ,25.3
Union Square-Lower Manhattan,26.5
Bayside Little Neck-Fresh Meadows,31
Northern SI,29.4
Southern SI,30
South Bronx,30.2
Bronx,30.8
Brooklyn,30.9
Manhattan,27
Queens,31.5
Staten Island,29.8
New York City,30.6
Financial District (CD1),24.8
Greenwich Village and Soho (CD2),25.1
Lower East Side and Chinatown (CD3),25.9
Clinton and Chelsea (CD4),24.6
Midtown (CD5),21.3
Stuyvesant Town and Turtle Bay (CD6),23.1
Upper West Side (CD7),25.6
Upper East Side (CD8),25.2
Morningside Heights and Hamilton Heights (CD9),26.4
Central Harlem (CD10),26.6
East Harlem (CD11),26.9
Washington Heights and Inwood (CD12),27
Mott Haven and Melrose (CD1),28.4
Hunts Point and Longwood (CD2),29.7
Morrisania and Crotona (CD3),28.3
Highbridge and Concourse (CD4),27.5
Fordham and University Heights (CD5),27.2
Belmont and East Tremont (CD6),28.1
Kingsbridge Heights and Bedford (CD7),27.7
Riverdale and Fieldston (CD8),27.7
Parkchester and Soundview (CD9),29.3
Throgs Neck and Co-op City (CD10),30.2
Morris Park and Bronxdale (CD11),29.2
Williamsbridge and Baychester (CD12),28.9
Greenpoint and Williamsburg (CD1),29.1
Fort Greene and Brooklyn Heights (CD2),27.6
Bedford Stuyvesant (CD3),28.9
Bushwick (CD4),29.9
East New York and Starrett City (CD5),31.2
Park Slope and Carroll Gardens (CD6),28.3
Sunset Park (CD7),29.2
Crown Heights and Prospect Heights (CD8),28.9
South Crown Heights and Lefferts Gardens (CD9),29.4
Bay Ridge and Dyker Heights (CD10),29.2
Bensonhurst (CD11),30.5
Borough Park (CD12),29.6
Coney Island (CD13),32.4
Flatbush and Midwood (CD14),29.9
Sheepshead Bay (CD15),31.7
Brownsville (CD16),30.3
East Flatbush (CD17),30.4
Flatlands and Canarsie (CD18),32.4
Long Island City and Astoria (CD1),29.5
Woodside and Sunnyside (CD2),29.5
Jackson Heights (CD3),29.3
Elmhurst and Corona (CD4),29.2
Ridgewood and Maspeth (CD5),30.3
Rego Park and Forest Hills (CD6),29.2
Flushing and Whitestone (CD7),30.3
Hillcrest and Fresh Meadows (CD8),30
Kew Gardens and Woodhaven (CD9),30.4
South Ozone Park and Howard Beach (CD10),31.7
Bayside and Little Neck (CD11),30.3
Jamaica and Hollis (CD12),31.1
Queens Village (CD13),31.8
Rockaway and Broad Channel (CD14),35.3
St. George and Stapleton (CD1),27.5
South Beach and Willowbrook (CD2),28.7
Tottenville and Great Kills (CD3),28.8
Kingsbridge - Riverdale,27.5
Northeast Bronx,29
Fordham - Bronx Pk,28.3
Pelham - Throgs Neck,29.8
Crotona -Tremont,27.8
High Bridge - Morrisania,27.7
Hunts Point - Mott Haven,29.4
Greenpoint,29
Downtown - Heights - Slope,27.9
Bedford Stuyvesant - Crown Heights,29.4
East New York,30.9
Sunset Park,29.3
Borough Park,29.7
East Flatbush - Flatbush,30.1
Canarsie - Flatlands,32.4
Bensonhurst - Bay Ridge,30
Coney Island - Sheepshead Bay,31.9
Williamsburg - Bushwick,29.3
Washington Heights,26.9
Central Harlem - Morningside Heights,26.5
East Harlem,26.9
Upper West Side,25.6
Upper East Side,25.2
Chelsea - Clinton,23.4
Gramercy Park - Murray Hill,22.1
Greenwich Village - SoHo,25.2
Union Square - Lower East Side,25.6
Lower Manhattan,24.7
Long Island City - Astoria,29.1
West Queens,29.4
Flushing - Clearview,30.3
Bayside - Little Neck,30.3
Ridgewood - Forest Hills,30.1
Fresh Meadows,30.1
Southwest Queens,31.2
Jamaica,30.9
Southeast Queens,31.7
Rockaways,35.2
Port Richmond,27
Stapleton - St. George,28.8
Willowbrook,28
South Beach - Tottenville,29
Kingsbridge - Riverdale,27.5
Northeast Bronx,29
Fordham - Bronx Pk,28.3
Pelham - Throgs Neck,29.8
Greenpoint,29
Downtown - Heights - Slope,27.9
Bedford Stuyvesant - Crown Heights,29.4
East New York,30.9
Sunset Park,29.3
Borough Park,29.7
East Flatbush - Flatbush,30.1
Canarsie - Flatlands,32.4
Bensonhurst - Bay Ridge,30
Coney Island - Sheepshead Bay,31.9
Williamsburg - Bushwick,29.3
Washington Heights,26.9
Central Harlem - Morningside Heights,26.5
East Harlem,26.9
Upper West Side,25.6
Long Island City - Astoria,29.1
West Queens,29.4
Flushing - Clearview,30.3
Ridgewood - Forest Hills,30.1
Southwest Queens,31.2
Jamaica,30.9
Southeast Queens,31.7
Rockaways,35.2
Upper East Side-Gramercy,23.8
Chelsea-Village  ,24
Union Square-Lower Manhattan,25.3
Bayside Little Neck-Fresh Meadows,30.2
Northern SI,28.2
Southern SI,28.6
South Bronx,28.4
Bronx,28.8
Brooklyn,30.3
Manhattan,25.3
Queens,30.8
Staten Island,28.5
New York City,29.5
Financial District (CD1),29.8
Greenwich Village and Soho (CD2),29.9
Lower East Side and Chinatown (CD3),30.4
Clinton and Chelsea (CD4),29.8
Midtown (CD5),26.9
Stuyvesant Town and Turtle Bay (CD6),28.2
Upper West Side (CD7),30.6
Upper East Side (CD8),30.1
Morningside Heights and Hamilton Heights (CD9),31.3
Central Harlem (CD10),31.4
East Harlem (CD11),31.7
Washington Heights and Inwood (CD12),32
Mott Haven and Melrose (CD1),32.8
Hunts Point and Longwood (CD2),33.7
Morrisania and Crotona (CD3),32.6
Highbridge and Concourse (CD4),32.2
Fordham and University Heights (CD5),32.1
Belmont and East Tremont (CD6),32.5
Kingsbridge Heights and Bedford (CD7),32.5
Riverdale and Fieldston (CD8),32.5
Parkchester and Soundview (CD9),33.2
Throgs Neck and Co-op City (CD10),34
Morris Park and Bronxdale (CD11),33.2
Williamsbridge and Baychester (CD12),33.2
Greenpoint and Williamsburg (CD1),33
Fort Greene and Brooklyn Heights (CD2),31.6
Bedford Stuyvesant (CD3),32.5
Bushwick (CD4),33.5
East New York and Starrett City (CD5),34.6
Park Slope and Carroll Gardens (CD6),32.3
Sunset Park (CD7),33.2
Crown Heights and Prospect Heights (CD8),32.5
South Crown Heights and Lefferts Gardens (CD9),33
Bay Ridge and Dyker Heights (CD10),33.5
Bensonhurst (CD11),34.5
Borough Park (CD12),33.4
Coney Island (CD13),36.3
Flatbush and Midwood (CD14),33.6
Sheepshead Bay (CD15),35.4
Brownsville (CD16),33.7
East Flatbush (CD17),33.9
Flatlands and Canarsie (CD18),35.7
Long Island City and Astoria (CD1),33.4
Woodside and Sunnyside (CD2),33.4
Jackson Heights (CD3),33
Elmhurst and Corona (CD4),32.8
Ridgewood and Maspeth (CD5),33.8
Rego Park and Forest Hills (CD6),32.7
Flushing and Whitestone (CD7),33.5
Hillcrest and Fresh Meadows (CD8),33
Kew Gardens and Woodhaven (CD9),33.6
South Ozone Park and Howard Beach (CD10),34.9
Bayside and Little Neck (CD11),33.1
Jamaica and Hollis (CD12),34
Queens Village (CD13),34.4
Rockaway and Broad Channel (CD14),38.3
St. George and Stapleton (CD1),33.4
South Beach and Willowbrook (CD2),35.1
Tottenville and Great Kills (CD3),36.2
Kingsbridge - Riverdale,32.5
Northeast Bronx,33.2
Fordham - Bronx Pk,32.8
Pelham - Throgs Neck,33.6
Crotona -Tremont,32.3
High Bridge - Morrisania,32.3
Hunts Point - Mott Haven,33.6
Greenpoint,33
Downtown - Heights - Slope,32
Bedford Stuyvesant - Crown Heights,33
East New York,34.3
Sunset Park,33.3
Borough Park,33.5
East Flatbush - Flatbush,33.7
Canarsie - Flatlands,35.8
Bensonhurst - Bay Ridge,34.2
Coney Island - Sheepshead Bay,35.6
Williamsburg - Bushwick,33
Washington Heights,31.9
Central Harlem - Morningside Heights,31.4
East Harlem,31.6
Upper West Side,30.5
Upper East Side,30.2
Chelsea - Clinton,28.8
Gramercy Park - Murray Hill,27.5
Greenwich Village - SoHo,30
Union Square - Lower East Side,30.1
Lower Manhattan,29.7
Long Island City - Astoria,33.1
West Queens,33.1
Flushing - Clearview,33.4
Bayside - Little Neck,33
Ridgewood - Forest Hills,33.5
Fresh Meadows,33.2
Southwest Queens,34.3
Jamaica,33.9
Southeast Queens,34.3
Rockaways,38.2
Port Richmond,33.4
Stapleton - St. George,34.2
Willowbrook,34.7
South Beach - Tottenville,36.2
Kingsbridge - Riverdale,32.5
Northeast Bronx,33.2
Fordham - Bronx Pk,32.8
Pelham - Throgs Neck,33.6
Greenpoint,33
Downtown - Heights - Slope,32
Bedford Stuyvesant - Crown Heights,33
East New York,34.3
Sunset Park,33.3
Borough Park,33.5
East Flatbush - Flatbush,33.7
Canarsie - Flatlands,35.8
Bensonhurst - Bay Ridge,34.2
Coney Island - Sheepshead Bay,35.6
Williamsburg - Bushwick,33
Washington Heights,31.9
Central Harlem - Morningside Heights,31.4
East Harlem,31.6
Upper West Side,30.5
Long Island City - Astoria,33.1
West Queens,33.1
Flushing - Clearview,33.4
Ridgewood - Forest Hills,33.5
Southwest Queens,34.3
Jamaica,33.9
Southeast Queens,34.3
Rockaways,38.2
Upper East Side-Gramercy,28.9
Chelsea-Village  ,29.2
Union Square-Lower Manhattan,30
Bayside Little Neck-Fresh Meadows,33
Northern SI,33.9
Southern SI,35.6
South Bronx,32.8
Bronx,33.1
Brooklyn,34
Manhattan,30.3
Queens,34
Staten Island,35.1
New York City,33.8
Financial District (CD1),27.1
Greenwich Village and Soho (CD2),27.2
Lower East Side and Chinatown (CD3),28
Clinton and Chelsea (CD4),27.1
Midtown (CD5),24.3
Stuyvesant Town and Turtle Bay (CD6),25.8
Upper West Side (CD7),28.1
Upper East Side (CD8),28
Morningside Heights and Hamilton Heights (CD9),28.8
Central Harlem (CD10),29.1
East Harlem (CD11),29.6
Washington Heights and Inwood (CD12),29
Mott Haven and Melrose (CD1),30.8
Hunts Point and Longwood (CD2),31.8
Morrisania and Crotona (CD3),30.2
Highbridge and Concourse (CD4),29.7
Fordham and University Heights (CD5),29.1
Belmont and East Tremont (CD6),29.8
Kingsbridge Heights and Bedford (CD7),29.2
Riverdale and Fieldston (CD8),28.8
Parkchester and Soundview (CD9),31.2
Throgs Neck and Co-op City (CD10),31.7
Morris Park and Bronxdale (CD11),30.5
Williamsbridge and Baychester (CD12),29.8
