BoroCode,BoroName,CountyFIPS,NTACode,NTAName,Shape_Leng,Shape_Area,Shape_Sq_Miles
3,Brooklyn,47,BK35,Stuyvesant Heights,28239.08533,31407114.09,1.126510549
1,Manhattan,61,MN50,Stuyvesant Town-Cooper Village,11061.81896,5575563.249,0.199984335
3,Brooklyn,47,BK34,Sunset Park East,25901.82346,27110085.04,0.972384686
3,Brooklyn,47,BK32,Sunset Park West,83039.17058,49955596.95,1.791807638
5,Staten Island,85,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,75942.3867,184889367.6,6.631612899
1,Manhattan,61,MN19,Turtle Bay-East Midtown,21251.84153,17390168.56,0.623750666
2,Bronx,5,BX36,University Heights-Morris Heights,24100.43226,21255485.46,0.762391874
1,Manhattan,61,MN40,Upper East Side-Carnegie Hill,23778.41051,20065364.33,0.719704603
1,Manhattan,61,MN12,Upper West Side,29160.20651,34379942.23,1.233139965
2,Bronx,5,BX28,Van Cortlandt Village,21945.7193,25666124.59,0.920592704
2,Bronx,5,BX37,Van Nest-Morris Park-Westchester Square,42640.46887,36319874.91,1.302721482
1,Manhattan,61,MN35,Washington Heights North,26693.55503,22670249.4,0.813136636
1,Manhattan,61,MN36,Washington Heights South,22143.34199,23127085.82,0.829522447
3,Brooklyn,47,BK23,West Brighton,14113.58168,8738768.98,0.313442216
2,Bronx,5,BX63,West Concourse,28571.87935,19366416.29,0.694634731
2,Bronx,5,BX08,West Farms-Bronx River,17479.61977,15084335.15,0.54104502
5,Staten Island,85,SI22,West New Brighton-New Brighton-St. George,66052.59307,56028570.71,2.009633096
1,Manhattan,61,MN23,West Village,27119.92261,24886380.25,0.89262483
2,Bronx,5,BX59,Westchester-Unionport,26557.31637,23945299.24,0.858870131
5,Staten Island,85,SI07,Westerleigh,41656.60968,63257774.74,2.268930227
4,Queens,81,QN49,Whitestone,61030.46046,69049707.34,2.476675299
2,Bronx,5,BX44,Williamsbridge-Olinville,27332.21202,36275454.44,1.301128208
3,Brooklyn,47,BK72,Williamsburg,16872.3688,11589607.99,0.415696126
3,Brooklyn,47,BK40,Windsor Terrace,19033.67207,14041667.99,0.503646628
4,Queens,81,QN53,Woodhaven,28046.45559,37034075.93,1.328338448
2,Bronx,5,BX62,Woodlawn-Wakefield,38692.78291,39738653.11,1.425346238
4,Queens,81,QN63,Woodside,27863.10788,28248327.99,1.013211191
1,Manhattan,61,MN32,Yorkville,18190.97865,13648287.8,0.489536865
