Geography,Degrees Fahrenheit degrees Fahrenheit,,Row Labels,Count of TREES,Shape_Sq_Mile,Trees_Per_Sq_Mi
Lower East Side and Chinatown (CD3),98,,Stapleton-Rosebank,3840,1.66547195,2305.652761
Lower Manhattan,94,,Starrett City,688,0.4160313,1653.721727
Madison,100,,Steinway,5436,2.07049864,2625.454514
Manhattan,98,,Stuyvesant Heights,3879,1.12651055,3443.37654
Manhattanville,97,,Stuyvesant Town-Cooper Village,447,0.19998434,2235.175014
Marble Hill-Inwood,97,,Sunset Park East,3224,0.97238469,3315.560223
Mariner's Harbor-Arlington-Port Ivory-Graniteville,100,,Sunset Park West,3243,1.79180764,1809.904103
Maspeth,100,,Todt Hill-Emerson Hill-Heartland Village-Lighthous,4823,6.6316129,727.2740543
Melrose South-Mott Haven North,101,,Turtle Bay-East Midtown,2253,0.62375067,3612.020168
Middle Village,98,,University Heights-Morris Heights,2002,0.76239187,2625.946155
Midtown (CD5),98,,Upper East Side-Carnegie Hill,4673,0.7197046,6492.941687
Midtown-Midtown South,97,,Upper West Side,5881,1.23313997,4769.126087
Midwood,100,,Van Cortlandt Village,2399,0.9205927,2605.929854
Morningside Heights,96,,Van Nest-Morris Park-Westchester Square,3143,1.30272148,2412.641572
Morningside Heights and Hamilton Heights (CD9),95,,Washington Heights North,2684,0.81313664,3300.798252
Morris Park and Bronxdale (CD11),100,,Washington Heights South,2990,0.82952245,3604.483519
Morrisania and Crotona (CD3),99,,West Brighton,481,0.31344222,1534.573103
Morrisania-Melrose,100,,West Concourse,2142,0.69463473,3083.635049
Mott Haven and Melrose (CD1),101,,West Farms-Bronx River,1623,0.54104502,2999.750372
Mott Haven-Port Morris,100,,West New Brighton-New Brighton-St. George,3970,2.0096331,1975.484978
Mount Hope,98,,West Village,3837,0.89262483,4298.558444
Murray Hill,100,,Westchester-Unionport,2820,0.85887013,3283.383484
Murray Hill-Kips Bay,98,,Westerleigh,4954,2.26893023,2183.407817
New Brighton-Silver Lake,97,,Whitestone,7620,2.4766753,3076.705291
New Dorp-Midland Beach,99,,Williamsbridge-Olinville,3371,1.30112821,2590.828463
New Springville-Bloomfield-Travis,97,,Williamsburg,1658,0.41569613,3988.490343
New York City,99,,Windsor Terrace,2290,0.50364663,4546.838723
North Corona,100,,Woodhaven,4260,1.32833845,3207.013996
North Riverdale-Fieldston-Riverdale,94,,Woodlawn-Wakefield,4083,1.42534624,2864.567138
North Side-South Side,99,,Woodside,2739,1.01321119,2703.28637
Northeast Bronx,99,,Yorkville,2269,0.48953687,4634.99307
Norwood,96,,,,,
Oakland Gardens,98,,,,,
Oakwood-Oakwood Beach,96,,,,,
Ocean Hill,101,,,,,
Ocean Parkway South,100,,,,,
Old Astoria,98,,,,,
Old Town-Dongan Hills-South Beach,97,,,,,
Ozone Park,101,,,,,
Park Slope and Carroll Gardens (CD6),97,,,,,
Park Slope-Gowanus,96,,,,,
Parkchester,99,,,,,
Parkchester and Soundview (CD9),98,,,,,
Pelham - Throgs Neck,96,,,,,
Pelham Bay-Country Club-City Island,97,,,,,
Pelham Parkway,99,,,,,
Pomonok-Flushing Heights-Hillcrest,101,,,,,
Port Richmond,102,,,,,
Port Richmond,99,,,,,
Prospect Heights,97,,,,,
Prospect Lefferts Gardens-Wingate,98,,,,,
Queens,100,,,,,
Queens Village,103,,,,,
Queens Village (CD13),101,,,,,
Queensboro Hill,100,,,,,
Queensbridge-Ravenswood-Long Island City,100,,,,,
Rego Park,100,,,,,
Rego Park and Forest Hills (CD6),99,,,,,
Richmond Hill,102,,,,,
Ridgewood,96,,,,,
Ridgewood - Forest Hills,97,,,,,
Ridgewood and Maspeth (CD5),98,,,,,
Riverdale and Fieldston (CD8),93,,,,,
Rockaway and Broad Channel (CD14),95,,,,,
Rockaways,93,,,,,
Rosedale,99,,,,,
Rossville-Woodrow,97,,,,,
Rugby-Remsen Village,100,,,,,
Schuylerville-Throgs Neck-Edgewater Park,98,,,,,
Seagate-Coney Island,95,,,,,
Sheepshead Bay (CD15),98,,,,,
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,96,,,,,
SoHo-TriBeCa-Civic Center-Little Italy,99,,,,,
Soundview-Bruckner,98,,,,,
Soundview-Castle Hill-Clason Point-Harding Park,99,,,,,
South Beach - Tottenville,95,,,,,
South Beach and Willowbrook (CD2),95,,,,,
South Crown Heights and Lefferts Gardens (CD9),98,,,,,
South Jamaica,103,,,,,
South Ozone Park,102,,,,,
South Ozone Park and Howard Beach (CD10),100,,,,,
Southeast Queens,101,,,,,
Southwest Queens,100,,,,,
Springfield Gardens North,102,,,,,
Springfield Gardens South-Brookville,101,,,,,
Spuyten Duyvil-Kingsbridge,96,,,,,
St. Albans,102,,,,,
St. George and Stapleton (CD1),98,,,,,
